Incident ID,Year,Month,Day,Country,Region,District,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Details
1165,2011,10,4,DR Congo,South Kivu,,Fizi,0,0,5,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,4,0,1,U,Am,R,-4.3021688,28.9428526,"Five staff members of a Congolese NGO were killed when rebels, reportedly the Mai Mai Yakutumba, targeted their vehicle. It appears to be ethnically motivated, as perpetrators were targeting members of the Banyamulenge ethnic group, and sparing others."
1282,2011,10,8,Uganda,,Kampala,Kampala,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,BA,IA,U,0.3177137,32.5813539,A UN international staff member on leave from Sudan was assaulted and injured together with her boyfriend during a robbery in Kampala.
1172,2011,10,23,Sudan,South Darfur,,Nyala,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,S,Am,R,12.05,24.883333,An INGO local staff driver was shot in the leg when his vehicle was carjacked in Nyala by two armed men. The driver was hospitalised.
1263,2011,11,1,DR Congo,North Kivu,,Rutushuru,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,K,Am,R,-1.183623,29.448832,An INGO national staffer was kidnapped in an ambush by armed men.
1181,2011,11,20,DR Congo,North Kivu,,Masisi,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,S,R,H,-1.3969505,28.8123772,"An international staff member working for a medical INGO suffered a gunshot wound to the shoulder when armed men forced their way in to the INGO's residential compound and opened fire. He was treated by his colleagues. The mobile medical activities in the area were suspended, but the INGO continued limited support to the area hospital."
1184,2011,11,27,Burundi,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,KK,R,P,-3.3634357,29.8870575,"An international staffer of a medical INGO was kidnapped and killed when he responded to a disturbance at the neighboring religious mission. A Croatian nun was also killed in the incident, and another escaped with minor wounds. Authorities determined the motive was most likely robbery."
1267,2011,11,27,Sudan,Central Darfur,,Zalengie,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,BA,Am,R,12.9096,23.47406,A nurse working for an INGO was knocked off his motorcycle and beatne. He suffered fractured ribs and a concussion.
1528,2012,2,17,Sudan,South Darfur,,Nyala,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,BA,IA,OC,12.049767,24.883365,One UN staff member sustained injuries to his head after being assaulted by police officers affecting an arrest in the UN compound.
1288,2012,3,6,Sudan,Darfur,,,2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,2,0,0,K,Am,R,11.329444,25.08565623,"A UN international staffer was kidnapped along with his Sudanese driver as they headed towards the office near Al-Hilal stadium in downtown Nyala. The two were kidnapped by unknown armed men driving a Land Cruiser vehicle. UPDATE: The driver was released shortly after the abduction, and the international staffer was released 86 days later following concerted negotiations."
1476,2012,3,28,Sudan,North Darfur,Kabkabiya,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,S,IA,OC,16,26,One UN national staff member was shot and wounded by an unknown assailant while he was exiting the UN compound in Kabkabiya.
1303,2012,5,18,DR Congo,North Kivu,,Goma,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,R,H,1.658501,29.220455,A national staffer of a UN agency was shot and killed in his home in Goma by unknown assailants.
1340,2012,8,4,Sudan,South Kordofan,,,1,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,2,2,0,0,S,Am,R,11,31,"One UN staffer was killed and one wounded when traveling in a marked UN vehicle, fired upon by two unknown assailants."
1479,2012,10,28,Ethiopia,,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,BA,IA,U,9.145,40.489673,One national INGO staff member was assaulted by a gang armed with crude weapons.
1702,2013,1,13,DR Congo,North Kivu ,,,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,S,IA,U,-0.841605,29.048446,One Red Cross worker was shot and killed by unknown armed men when trying to stop them from raping a woman.
1659,2013,1,31,DR Congo,North Kivu ,,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,K,Am,R,-0.816957,29.109423,"One INGO female staff member was abducted, but was released three days later."
1715,2013,2,6,Sudan,South Kordofan,,Tartanj (about 10km NE of Rashad town),1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,Am,R,11.878453,31.131175,One UN-contracted truck driver was shot and killed by four armed bandits. The driver's cash and mobile phone were taken.
1709,2013,2,8,Sudan,North Darfur,,"Kutum, Dibaben area",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,BA,U,P,14.205387,24.64345,"One UN staff member, a security guard supervisor, was found stabbed to death. The perpetrators and the motive are unknown."
1736,2013,2,10,DR Congo,Orientale,Ituri,Bunia,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,BA,IA,U,1.566667,30.25,One national UN worker was severely beaten by FARDC soldiers for having committed adultery.
1787,2013,3,14,Sudan,East Darfur,,Tour Taan railway road,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,K,Am,R,11.800525,25.442011,"One UN-contracted driver was abducted by unknown individuals, who demanded money for his release. Both the driver and the truck were released 35 days later."
1685,2013,5,2,Sudan,West Darfur,,Garsila,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,S,Am,R,12.365248,23.142216,Two INGO staff members were injured (one shot and one severely beaten) when their aid convoy was attacked by seven armed men.
1423,2013,5,4,DR Congo,North Kivu,,Rutshuru,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,IA,P,-1.183623,29.448832,One INGO staffer was shot dead by unknown gunmen.
1679,2013,6,4,Sudan,Central Darfur,,Um Dakhum (Near),0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,BA,U,P,11.123514,22.961818,One national INGO staff member was killed due to fighting between two tribal groups.
1710,2013,7,1,Uganda,Western ,Mbarara ,Mbarara,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,BA,IA,H,-0.606542,30.674716,"One UN staff member was stabbed during an apparent robbery by unknown assailants. He was immediately rushed to the hospital, but died upon arrival."
1459,2013,7,4,Sudan,South Darfur,,Nyala,0,3,0,0,0,0,2,1,0,3,0,0,0,0,2,1,0,3,0,0,3,AB,C,OC,12.049767,24.883365,Two INGO national workers were killed and one was in critical condition after a grenade exploded in their office during fighting in Nyala between Government troops and rebels.
1515,2013,7,11,DR Congo,North Kivu,,"Beni, Watalinga",0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,3,1,0,K,R,PS,0.485973,29.458168,"Four national INGO staff were kidnapped by an armed group. UPDATE: one staff member escaped and was found unharmed over a year later, on 29 August 2014; no news regarding the other three staff members, however."
