"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"11200955233665","11200955233665_8260563","3","8260563","North Kivu","-0.65515","29.03398","ADM2","second-order administrative division","6295630|6255146|CD|11|8260563","Earth|Africa|DR Congo|Nord Kivu|North Kivu","1","1"
"11200955233665","11200955233665_8260566","3","8260566","South Kivu","-3.22552","28.59604","ADM2","second-order administrative division","6295630|6255146|CD|12|8260566","Earth|Africa|DR Congo|South Kivu|South Kivu","1","1"
"11200955233540","11200955233540_922727","3","922727","Lualaba","-10.71667","25.46667","ADM2","second-order administrative division","6295630|6255146|CD|05|922727","Earth|Africa|DR Congo|Katanga Province|Lualaba","1","1"
"11200955233541","11200955233541_8260563","3","8260563","North Kivu","-0.65515","29.03398","ADM2","second-order administrative division","6295630|6255146|CD|11|8260563","Earth|Africa|DR Congo|Nord Kivu|North Kivu","1","1"
"11200912518495","11200912518495_215709","3","215709","Ituri","1.56667","30.25","ADM2","second-order administrative division","6295630|6255146|CD|09|215709","Earth|Africa|DR Congo|Eastern Province|Ituri","1","1"
"1120098711784","1120098711784_216448","2","216448","Zone de Gandajika","-6.75","23.95","ADM3","third-order administrative division","6295630|6255146|CD|00","Earth|Africa|DR Congo|Zone de Gandajika","1","1"
"1120098711784","1120098711784_2315639","2","2315639","Gungu","-5.73333","19.31667","ADM3","third-order administrative division","6295630|6255146|CD|01|2313847|2315639","Earth|Africa|DR Congo|Bandundu Province|Kwilu District|Gungu","1","1"
"1120098711784","1120098711784_215798","2","215798","Isangi","0.76667","24.25","ADM3","third-order administrative division","6295630|6255146|CD|09|204704|215798","Earth|Africa|DR Congo|Eastern Province|Tshopo|Isangi","1","1"
"1120098711784","1120098711784_2312887","2","2312887","Mbanza-Ngungu","-5.25","14.86667","ADM3","third-order administrative division","6295630|6255146|CD|08|7731971|2312887","Earth|Africa|DR Congo|Province du Bas-Congo|Cataractes District|Mbanza-Ngungu","1","1"
"1120098731047","1120098731047_209597","2","209597","Manono","-7.3","27.41667","ADM3","third-order administrative division","6295630|6255146|CD|05|205253|209597","Earth|Africa|DR Congo|Katanga Province|Tanganika|Manono","1","1"
"1120098735843","1120098735843_209476","2","209476","Masisi","-1.4","28.81667","ADM3","third-order administrative division","6295630|6255146|CD|11|8260563|209476","Earth|Africa|DR Congo|Nord Kivu|North Kivu|Masisi","1","1"
"1120098710708","1120098710708_210063","2","210063","Mahagi","2.3","30.98333","ADM3","third-order administrative division","6295630|6255146|CD|09|215709|210063","Earth|Africa|DR Congo|Eastern Province|Ituri|Mahagi","1","1"
"1120091254435","1120091254435_206112","2","206112","Pweto","-8.46667","28.9","ADM3","third-order administrative division","6295630|6255146|CD|05|7670837|206112","Earth|Africa|Congo|Katanga Province|Haut Katanga|Pweto","1","1"
"1120098711865","1120098711865_2313886","2","2313886","Kungu","2.78333","19.2","ADM3","third-order administrative division","6295630|6255146|CD|02|7731903|2313886","Earth|Africa|DR Congo|Province de lՃquateur|Sud Ubangi|Kungu","1","1"
"1120091052385","1120091052385_217830","2","217830","Bukavu","-2.5","28.86667","ADM3","third-order administrative division","6295630|6255146|CD|12|8260566|217830","Earth|Africa|DR Congo|South Kivu|South Kivu|Bukavu","1","1"
"1120098711617","1120098711617_7701232","2","7701232","Bumbu","-4.36644","15.29211","ADM3","third-order administrative division","6295630|6255146|CD|06|8260567|7701232","Earth|Africa|DR Congo|Kinshasa City|Kinshasa rural|Bumbu","1","1"
"1120098711617","1120098711617_7701220","2","7701220","Gombe","-4.3073","15.3055","ADM3","third-order administrative division","6295630|6255146|CD|06|8260567|7701220","Earth|Africa|DR Congo|Kinshasa City|Kinshasa rural|Gombe","1","1"
"1120098711617","1120098711617_7701229","2","7701229","Kalamu","-4.34761","15.32001","ADM3","third-order administrative division","6295630|6255146|CD|06|8260567|7701229","Earth|Africa|DR Congo|Kinshasa City|Kinshasa rural|Kalamu","1","1"
"1120098711617","1120098711617_7701226","2","7701226","Kasa-Vubu","-4.34324","15.30438","ADM3","third-order administrative division","6295630|6255146|CD|06|7701226","Earth|Africa|DR Congo|Kinshasa City|Kasa-Vubu","1","1"
"1120098711617","1120098711617_7731965","2","7731965","Kinshasa","-4.47223","15.8836","ADM3","third-order administrative division","6295630|6255146|CD|06|8260567|7731965","Earth|Africa|DR Congo|Kinshasa City|Kinshasa rural|Kinshasa","1","1"
