"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"7Egtk9WNp2fYTCbGXi4hME","1120091055406","","2002","C","USD","11065829.7358"
"64PW4KhyKLvjqFAARgQF7Y","1120091055421","","2004","C","USD","42271050.8891"
"Ervaf9oCtd8homArcKAzuX","1120091055422","","2001","C","USD","4373055.52086"
"8TwDENBsJfZ77QvYyYRJeH","1120091055422","","2002","C","USD","5778822.19538"
"2Q4xEcqiHaZLct3hHUE27K","1120091055422","","2003","C","USD","4515796.98036"
"EZJXkZgnSSwu8J2cPxTXz","1120091055426","","2005","C","USD","13603033.2678"
"RRJoQLZUKACsgeC4EMfnhV","1120091055424","","2001","C","USD","624722.217266"
"WMXkr2ymMnMN5YftdftVue","1120091055427","","2000","C","USD","1277678.29704"
"2pUATfB5mAmrrHRTjKpj8Z","1120091055427","","2001","C","USD","1249444.43453"
"aHSQFeircvHnbxVaaNxMm9","1120091055427","","2002","C","USD","1844304.95597"
"uB4wThYvpW3fvdLJPP3kh8","1120091055427","","2003","C","USD","3938979.17941"
"hidaEwn8QSqX9J9S7ZEqbS","1120091055427","","2004","C","USD","3162335.1362"
"jBgkkKkrah6MCpvJcYZKHD","1120091055427","","2005","C","USD","2267172.21131"
"DuaU2J4HPiNgiitSNjYfT4","1120091055430","","2001","C","USD","5222677.73634"
"wxVRFEEmUYtvZWckppdiHD","1120091055432","","1999","C","USD","19735327.5756"
"R4dy355UVcYRSxYPLVjqDC","1120091055425","","2001","C","USD","4470512.18676"
"R9bPWmGir7gwHc4ysi5cuE","1120091055445","","1999","C","USD","169693.272361"
"NRMfveQ2rnc5VsnoU5qBS8","1120091055445","","2000","C","USD","166098.178615"
"Ed8sDHCGuvscheJhqRPJCm","1120091055445","","2001","C","USD","118697.221281"
